ticker,date,open,high,low,close,volume,closeadj,closeunadj,lastupdated
NVDA,2024-07-03,121.66,128.28,121.36,128.28,215092591.0,128.28,128.28,2024-07-03
NVDA,2024-07-02,121.13,123.41,121.03,122.67,215115914.0,122.67,122.67,2024-07-02
NVDA,2024-07-01,123.47,124.84,118.83,124.3,278261862.0,124.3,124.3,2024-07-01
NVDA,2024-06-28,124.58,127.71,122.75,123.54,307573075.0,123.54,123.54,2024-06-28
NVDA,2024-06-27,124.1,126.41,122.92,123.99,249312431.0,123.99,123.99,2024-06-27
NVDA,2024-06-26,126.13,128.12,122.6,126.4,352726348.0,126.4,126.4,2024-06-26
NVDA,2024-06-25,121.2,126.5,119.32,126.09,414180592.0,126.09,126.09,2024-06-25
NVDA,2024-06-24,123.24,124.46,118.04,118.11,464368615.0,118.11,118.11,2024-06-24
NVDA,2024-06-21,127.12,130.63,124.3,126.57,650520339.0,126.57,126.57,2024-06-21
NVDA,2024-06-20,139.8,140.76,129.52,130.78,511574620.0,130.78,130.78,2024-06-20
NVDA,2024-06-18,131.14,136.33,130.69,135.58,289167796.0,135.58,135.58,2024-06-18
NVDA,2024-06-17,132.99,133.73,129.58,130.98,283561605.0,130.98,130.98,2024-06-17
NVDA,2024-06-14,129.96,132.84,128.32,131.88,306998763.0,131.88,131.88,2024-06-14
NVDA,2024-06-13,129.39,129.8,127.16,129.61,255595871.0,129.61,129.61,2024-06-13
NVDA,2024-06-12,123.06,126.88,122.57,125.2,295017733.0,125.2,125.2,2024-06-12
NVDA,2024-06-11,121.77,122.87,118.74,120.91,220851006.0,120.91,120.91,2024-06-12
NVDA,2024-06-10,120.37,123.1,117.01,121.79,308134791.0,121.78,121.79,2024-06-17
NVDA,2024-06-07,119.77,121.692,118.022,120.888,401361050.0,120.878,1208.88,2024-06-12
NVDA,2024-06-06,124.048,125.587,118.32,120.998,655351140.0,120.988,1209.98,2024-06-12
NVDA,2024-06-05,118.371,122.449,117.468,122.44,512092670.0,122.43,1224.4,2024-06-12
NVDA,2024-06-04,115.716,116.6,114.045,116.437,395377950.0,116.427,1164.37,2024-06-12
NVDA,2024-06-03,113.621,115.0,112.003,115.0,428183230.0,114.99,1150.0,2024-06-12
NVDA,2024-05-31,112.52,112.717,106.94,109.633,606022570.0,109.624,1096.33,2024-06-12
NVDA,2024-05-30,114.65,115.819,109.663,110.5,475803120.0,110.491,1105.0,2024-06-12
NVDA,2024-05-29,113.05,115.492,110.901,114.825,547136740.0,114.816,1148.25,2024-06-12
NVDA,2024-05-28,110.244,114.939,109.883,113.901,636066820.0,113.892,1139.01,2024-06-12
NVDA,2024-05-24,104.449,106.475,103.0,106.469,421970170.0,106.46,1064.69,2024-06-12
NVDA,2024-05-23,102.028,106.32,101.52,103.799,829304970.0,103.79,1037.99,2024-06-12
NVDA,2024-05-22,95.459,96.02,93.249,94.95,545479500.0,94.942,949.5,2024-06-12
NVDA,2024-05-21,93.599,95.4,93.18,95.386,323110950.0,95.378,953.86,2024-06-12
NVDA,2024-05-20,93.75,95.2,93.44,94.78,315890530.0,94.772,947.8,2024-06-12
NVDA,2024-05-17,94.369,94.74,91.806,92.479,346462030.0,92.471,924.79,2024-06-12
NVDA,2024-05-16,94.91,95.819,94.103,94.359,320855810.0,94.351,943.59,2024-06-12
NVDA,2024-05-15,92.472,94.862,91.599,94.63,411683830.0,94.622,946.3,2024-06-12
NVDA,2024-05-14,89.599,91.651,88.934,91.356,294770650.0,91.348,913.56,2024-06-12
NVDA,2024-05-13,90.478,90.998,88.529,90.399,287268600.0,90.392,903.99,2024-06-12
NVDA,2024-05-10,90.304,91.401,89.227,89.878,332367890.0,89.871,898.78,2024-06-12
NVDA,2024-05-09,90.529,91.072,88.231,88.747,375424630.0,88.74,887.47,2024-06-12
NVDA,2024-05-08,89.483,91.194,89.42,90.412,322386020.0,90.405,904.12,2024-06-12
NVDA,2024-05-07,91.098,91.781,82.325,90.554,436262200.0,90.547,905.54,2024-06-12
NVDA,2024-05-06,89.39,92.22,89.055,92.14,370183340.0,92.132,921.4,2024-06-12
NVDA,2024-05-03,87.789,89.281,87.04,88.789,396131370.0,88.782,887.89,2024-06-12
NVDA,2024-05-02,84.449,86.237,83.2,85.817,363157950.0,85.81,858.17,2024-06-12
NVDA,2024-05-01,85.077,86.0,81.255,83.041,553531080.0,83.034,830.41,2024-06-12
NVDA,2024-04-30,87.24,88.819,86.3,86.402,348441050.0,86.395,864.02,2024-06-12
NVDA,2024-04-29,87.595,87.992,85.266,87.757,385884050.0,87.75,877.57,2024-06-12
NVDA,2024-04-26,83.818,88.331,83.387,87.735,546664850.0,87.728,877.35,2024-06-12
NVDA,2024-04-25,78.868,83.323,78.223,82.632,415768230.0,82.625,826.32,2024-06-12
NVDA,2024-04-24,83.95,84.082,79.183,79.677,501985350.0,79.67,796.77,2024-06-12
NVDA,2024-04-23,80.769,82.769,80.264,82.423,430047180.0,82.416,824.23,2024-06-12
NVDA,2024-04-22,78.104,80.073,76.4,79.518,594585320.0,79.511,795.18,2024-06-12
NVDA,2024-04-19,83.15,84.324,75.606,76.2,870081930.0,76.194,762.0,2024-06-12
NVDA,2024-04-18,84.97,86.19,82.402,84.671,443842720.0,84.664,846.71,2024-06-12
NVDA,2024-04-17,88.34,88.775,83.95,84.035,490922310.0,84.028,840.35,2024-06-12
NVDA,2024-04-16,86.433,88.118,86.064,87.415,368178930.0,87.408,874.15,2024-06-12
NVDA,2024-04-15,89.098,90.613,85.929,86.001,438439960.0,85.994,860.01,2024-06-12
NVDA,2024-04-12,89.699,90.175,87.53,88.186,421609160.0,88.179,881.86,2024-06-12
NVDA,2024-04-11,87.42,90.739,86.926,90.616,427376920.0,90.609,906.16,2024-06-12
NVDA,2024-04-10,83.926,87.4,83.709,87.039,428907700.0,87.032,870.39,2024-06-12
NVDA,2024-04-09,87.442,87.635,83.022,85.354,499779740.0,85.347,853.54,2024-06-12
NVDA,2024-04-08,88.7,88.83,86.732,87.133,279075320.0,87.126,871.33,2024-06-12
NVDA,2024-04-05,86.866,88.481,85.926,88.008,397617990.0,88.001,880.08,2024-06-12
NVDA,2024-04-04,90.406,90.634,85.88,85.905,431018170.0,85.898,859.05,2024-06-12
NVDA,2024-04-03,88.484,90.374,88.4,88.964,367591260.0,88.957,889.64,2024-06-12
NVDA,2024-04-02,88.448,90.094,87.62,89.452,431379350.0,89.445,894.52,2024-06-12
NVDA,2024-04-01,90.299,92.225,89.204,90.363,448117330.0,90.356,903.63,2024-06-12
NVDA,2024-03-28,90.0,91.3,89.193,90.356,430841040.0,90.349,903.56,2024-06-12
NVDA,2024-03-27,93.112,93.24,89.123,90.25,582061350.0,90.243,902.5,2024-06-12
NVDA,2024-03-26,95.851,96.375,92.502,92.561,505269610.0,92.553,925.61,2024-06-12
NVDA,2024-03-25,93.941,96.766,93.51,95.002,546844400.0,94.994,950.02,2024-06-12
NVDA,2024-03-22,91.141,94.778,90.834,94.289,582370130.0,94.281,942.89,2024-06-12
NVDA,2024-03-21,92.3,92.648,90.405,91.435,478255770.0,91.427,914.35,2024-06-12
NVDA,2024-03-20,89.797,90.41,88.223,90.372,469388370.0,90.365,903.72,2024-06-12
NVDA,2024-03-19,86.7,90.544,85.01,89.398,666158760.0,89.391,893.98,2024-06-12
NVDA,2024-03-18,90.388,92.405,87.085,88.455,645602200.0,88.448,884.55,2024-06-12
NVDA,2024-03-15,86.93,89.546,86.257,87.837,631635830.0,87.829,878.365,2024-06-12
NVDA,2024-03-14,89.577,90.646,86.6,87.944,597110810.0,87.937,879.44,2024-06-12
NVDA,2024-03-13,91.055,91.504,88.435,90.888,627266260.0,90.88,908.88,2024-06-12
NVDA,2024-03-12,88.049,91.96,86.15,91.913,654374800.0,91.905,919.13,2024-06-12
NVDA,2024-03-11,86.429,88.797,84.166,85.774,666115100.0,85.767,857.74,2024-06-12
NVDA,2024-03-08,95.138,97.4,86.506,87.528,1119148610.0,87.521,875.28,2024-06-12
NVDA,2024-03-07,90.158,92.767,89.602,92.669,586628880.0,92.661,926.69,2024-06-12
NVDA,2024-03-06,88.022,89.724,87.03,88.7,574863540.0,88.693,887.0,2024-06-12
NVDA,2024-03-05,85.27,86.097,83.417,85.964,514491990.0,85.957,859.64,2024-06-12
NVDA,2024-03-04,84.13,87.695,83.719,85.237,605270990.0,85.226,852.37,2024-06-12
NVDA,2024-03-01,80.0,82.3,79.435,82.279,473571080.0,82.268,822.79,2024-06-12
NVDA,2024-02-29,79.094,79.99,78.35,79.112,483397520.0,79.102,791.12,2024-06-12
NVDA,2024-02-28,77.62,78.933,77.125,77.663,379453010.0,77.653,776.63,2024-06-12
NVDA,2024-02-27,79.381,79.48,77.162,78.701,389381770.0,78.691,787.01,2024-06-12
NVDA,2024-02-26,79.7,80.646,78.505,79.092,498951320.0,79.082,790.92,2024-06-12
NVDA,2024-02-23,80.79,82.394,77.57,78.817,819930740.0,78.807,788.17,2024-06-12
NVDA,2024-02-22,75.025,78.575,74.22,78.538,850753300.0,78.528,785.38,2024-06-12
NVDA,2024-02-21,68.006,68.888,66.248,67.472,581351300.0,67.463,674.72,2024-06-12
NVDA,2024-02-20,71.947,71.956,67.734,69.452,695588780.0,69.443,694.52,2024-06-12
NVDA,2024-02-16,74.1,74.402,72.501,72.613,489778040.0,72.604,726.13,2024-06-12
NVDA,2024-02-15,73.869,73.975,72.4,72.658,414981660.0,72.649,726.58,2024-06-12
NVDA,2024-02-14,73.202,74.236,71.938,73.9,501669820.0,73.89,739.0,2024-06-12
NVDA,2024-02-13,70.4,73.45,69.62,72.128,597751270.0,72.119,721.28,2024-06-12
NVDA,2024-02-12,72.6,74.611,71.25,72.248,610147970.0,72.239,722.48,2024-06-12
NVDA,2024-02-09,70.533,72.185,70.212,72.133,432186060.0,72.124,721.33,2024-06-12
NVDA,2024-02-08,70.074,70.794,69.455,69.641,411068080.0,69.632,696.41,2024-06-12
NVDA,2024-02-07,68.319,70.22,67.6,70.099,484858350.0,70.09,700.99,2024-06-12
NVDA,2024-02-06,69.63,69.754,66.3,68.223,677542450.0,68.214,682.23,2024-06-12
NVDA,2024-02-05,68.225,69.497,67.205,69.332,669199000.0,69.323,693.32,2024-06-12
NVDA,2024-02-02,63.974,66.6,63.69,66.16,472162430.0,66.151,661.6,2024-06-12
NVDA,2024-02-01,62.1,63.191,61.65,63.027,360015770.0,63.019,630.27,2024-06-12
NVDA,2024-01-31,61.44,62.269,60.7,61.527,450685320.0,61.519,615.27,2024-06-12
NVDA,2024-01-30,62.9,63.493,62.26,62.774,395959450.0,62.766,627.74,2024-06-12
NVDA,2024-01-29,61.232,62.489,60.907,62.465,338990820.0,62.457,624.65,2024-06-12
NVDA,2024-01-26,60.96,61.783,60.573,61.031,388563040.0,61.023,610.31,2024-06-12
NVDA,2024-01-25,62.35,62.719,60.85,61.617,473081170.0,61.609,616.17,2024-06-12
NVDA,2024-01-24,60.304,62.849,59.938,61.362,557434670.0,61.354,613.62,2024-06-12
NVDA,2024-01-23,59.57,59.91,58.585,59.873,291144970.0,59.865,598.73,2024-06-12
NVDA,2024-01-22,60.049,60.331,59.07,59.654,446472180.0,59.646,596.54,2024-06-12
NVDA,2024-01-19,57.989,59.5,57.225,59.491,537065110.0,59.483,594.91,2024-06-12
NVDA,2024-01-18,57.26,57.6,56.107,57.107,486118760.0,57.1,571.07,2024-06-12
NVDA,2024-01-17,56.347,56.471,54.74,56.053,472526440.0,56.046,560.53,2024-06-12
NVDA,2024-01-16,55.018,56.835,54.9,56.382,442170400.0,56.375,563.82,2024-06-12
NVDA,2024-01-12,54.62,54.97,54.33,54.71,350534740.0,54.703,547.1,2024-06-12
NVDA,2024-01-11,54.999,55.346,53.56,54.822,593749240.0,54.815,548.22,2024-06-12
NVDA,2024-01-10,53.616,54.6,53.489,54.35,529657650.0,54.343,543.5,2024-06-12
NVDA,2024-01-09,52.401,54.325,51.69,53.14,765314270.0,53.133,531.4,2024-06-12
NVDA,2024-01-08,49.512,52.275,49.479,52.253,629657770.0,52.246,522.53,2024-06-12
NVDA,2024-01-05,48.462,49.547,48.306,49.097,410804550.0,49.091,490.97,2024-06-12
NVDA,2024-01-04,47.767,48.5,47.508,47.998,305880480.0,47.992,479.98,2024-06-12
NVDA,2024-01-03,47.485,48.184,47.32,47.569,318157300.0,47.563,475.69,2024-06-12
NVDA,2024-01-02,49.244,49.295,47.595,48.168,408384920.0,48.162,481.68,2024-06-12
NVDA,2023-12-29,49.813,49.997,48.751,49.522,388093300.0,49.516,495.22,2024-06-12
NVDA,2023-12-28,49.643,49.884,49.412,49.522,244414030.0,49.516,495.22,2024-06-12
NVDA,2023-12-27,49.511,49.68,49.085,49.417,232063870.0,49.411,494.17,2024-06-12
NVDA,2023-12-26,48.968,49.6,48.96,49.279,242754190.0,49.273,492.79,2024-06-12
NVDA,2023-12-22,49.195,49.383,48.467,48.83,251502140.0,48.824,488.3,2024-06-12
NVDA,2023-12-21,48.811,49.095,48.419,48.99,299150860.0,48.984,489.9,2024-06-12
NVDA,2023-12-20,49.655,49.999,48.098,48.111,393954110.0,48.105,481.11,2024-06-12
NVDA,2023-12-19,49.424,49.7,48.895,49.604,463132480.0,49.598,496.04,2024-06-12
NVDA,2023-12-18,49.4,50.433,49.15,50.077,408888120.0,50.071,500.77,2024-06-12
NVDA,2023-12-15,48.194,49.404,48.12,48.89,479249690.0,48.884,488.9,2024-06-12
NVDA,2023-12-14,48.39,48.67,47.422,48.35,381605580.0,48.344,483.5,2024-06-12
NVDA,2023-12-13,47.629,48.594,47.608,48.088,436067520.0,48.082,480.88,2024-06-12
NVDA,2023-12-12,46.046,47.666,46.046,47.657,369949420.0,47.651,476.57,2024-06-12
NVDA,2023-12-11,47.491,47.531,45.83,46.627,501075570.0,46.621,466.27,2024-06-12
NVDA,2023-12-08,46.595,47.741,46.55,47.506,351333420.0,47.5,475.06,2024-06-12
NVDA,2023-12-07,45.7,46.629,45.604,46.596,341684900.0,46.59,465.96,2024-06-12
NVDA,2023-12-06,47.215,47.387,45.412,45.503,366910460.0,45.497,455.03,2024-06-12
NVDA,2023-12-05,45.466,46.6,45.271,46.566,362188780.0,46.56,465.66,2024-06-12
NVDA,2023-12-04,46.077,46.077,45.01,45.51,428814490.0,45.5,455.1,2024-06-12
NVDA,2023-12-01,46.525,47.2,46.187,46.765,358215390.0,46.755,467.65,2024-06-12
NVDA,2023-11-30,48.024,48.11,46.422,46.77,520421110.0,46.76,467.7,2024-06-12
NVDA,2023-11-29,48.379,48.762,47.86,48.14,360438670.0,48.13,481.4,2024-06-12
NVDA,2023-11-28,48.236,48.323,47.473,47.821,389487160.0,47.811,478.21,2024-06-12
NVDA,2023-11-27,47.8,48.53,47.652,48.242,393868730.0,48.232,482.42,2024-06-12
NVDA,2023-11-24,48.47,48.921,47.745,47.776,293673630.0,47.766,477.76,2024-06-12
NVDA,2023-11-22,49.852,50.335,47.69,48.716,897306570.0,48.706,487.16,2024-06-12
NVDA,2023-11-21,50.126,50.517,49.222,49.944,501227400.0,49.933,499.44,2024-06-12
