EndingDate,PortNum,Shortname,IssueName1,IssueName2,Cusip,ticker,Units,TaxlotNum,AcquitionDate,TaxCost,AcquisitionUnitCost,MarketPrice,MarketValue,accruedIntB,PercentofTMV,UnRealGL,EstIncomeB,MaturityDate,MoodyRating,AssetClass,AssetSubClass,Amortization,AssetSector,ExpirationDate,BookValue,eps,MinSecClass,vchShortName,PriceAsPercent,GPEmplId,SecurityID,SMA,Asset Type,CallDate,UnrealShortTermCapGL,UnrealLongTermCapGL
7/30/2024 0:00,9999-01-1/1.1,Adam Test INC,CASH,,,,0.2,0,,0.2,1,1,0.2,0,0.01,0,0,,,Cash,Cash,,,8/30/2024 0:00,0.2,,1,,,,CASH,,,,,
7/30/2024 0:00,9999-01-1/1.1,Adam Test INC,GS INVESTOR TAX-EXEMPT MONEY MARKET FUND,,38141W182,FTXXX,1208,0,,1208,0,1,1208,,99.98,0,42.36,,N/A,Cash,Cash,,Other,8/30/2024 0:00,1208,0,1,,NO,,275590,,Managed,,,
7/30/2024 0:00,9999-01-1/1.2,Adam Test INC,INFINITY Q DIVERSIFIED ALPHA FUND,,89832P705,IQDNX,1526.897,2,9/2/2020 0:00,6181.55,4.0484,0.025,38.17,0,0.01,-6143.38,0,,N/A,Alternatives & Other,Absolute Return,,Mutual Funds & ETFs,8/30/2024 0:00,6181.55,0,54,,NO,,301980,,Mutual Funds & ETFs,,,-6143.38
7/30/2024 0:00,9999-01-1/1.2,Adam Test PRI,CASH,,,,0.41,0,,0.41,1,1,0.41,0,0,0,0,,,Cash,Cash,,,8/30/2024 0:00,0.41,,1,,,,CASH,,,,,
7/30/2024 0:00,9999-01-1/1.2,Adam Test PRI,GS INVESTOR TAX-EXEMPT MONEY MARKET FUND,,38141W182,FTXXX,23707,0,,23707,0,1,23707,,7.15,0,831.23,,N/A,Cash,Cash,,Other,8/30/2024 0:00,23707,0,1,,NO,,275590,,Managed,,,
7/30/2024 0:00,9999-01-1/1.2,Adam Test PRI,ISHARES MSCI ACWI EX US INDX,,464288240,ACWX,41,1,11/15/2011 0:00,1554.11,37.9051,53.41,2189.81,0,0.66,635.7,61.4181,,N/A,Equity,International,,Mutual Funds & ETFs,8/30/2024 0:00,1554.11,0,224,,NO,,249834,,Mutual Funds & ETFs,,,635.7
7/30/2024 0:00,9999-01-1/1.2,Adam Test PRI,ISHARES MSCI ACWI EX US INDX,,464288240,ACWX,972,4,3/5/2021 0:00,52880.49,54.4038,53.41,51914.52,0,15.67,-965.97,1456.0579,,N/A,Equity,International,,Mutual Funds & ETFs,8/30/2024 0:00,52880.49,0,224,,NO,,249834,,Mutual Funds & ETFs,,,-965.97
7/30/2024 0:00,9999-01-1/1.2,Adam Test PRI,ISHARES MSCI ACWI EX US INDX,,464288240,ACWX,1029,2,11/15/2011 0:00,39060.01,37.9592,53.41,54958.89,0,16.59,15898.88,1541.444,,N/A,Equity,International,,Mutual Funds & ETFs,8/30/2024 0:00,39060.01,0,224,,NO,,249834,,Mutual Funds & ETFs,,,15898.88
7/30/2024 0:00,9999-01-1/1.2,Adam Test PRI,VANGUARD FTSE EMERGING MARKETS ETF,,922042858,VWO,150,1,6/10/2013 0:00,6091.46,40.6097,43.45,6517.5,0,1.96,426.04,210.15,,N/A,Equity,International,,Mutual Funds & ETFs,8/30/2024 0:00,6091.46,0,224,,NO,,230673,,Mutual Funds & ETFs,,,426.04
7/30/2024 0:00,9999-01-1/1.2,Adam Test PRI,VANGUARD INDEX FDS SMALL CAP ETF,,922908751,VB,150,1,9/2/2020 0:00,24109.01,160.7267,231.95,34792.5,0,10.5,10683.49,500.4,,N/A,Equity,U.S. Small Cap,,Mutual Funds & ETFs,8/30/2024 0:00,24109.01,0,225,,NO,,234244,,Mutual Funds & ETFs,,,10683.49
7/30/2024 0:00,9999-01-1/1.2,Adam Test PRI,VANGUARD SMALL - CAP VALUE ETF,,922908611,VBR,145,1,11/16/2017 0:00,18577.4,128.12,197.45,28630.25,0,8.64,10052.85,578.26,,N/A,Equity,U.S. Small Cap,,Mutual Funds & ETFs,8/30/2024 0:00,18577.4,0,225,,NO,,239955,,Mutual Funds & ETFs,,,10052.85
7/30/2024 0:00,9999-01-1/1.2,Adam Test PRI,EL PASO ENERGY CAP TRST 4.75 $2.375 PFD,,283678209,EP/PRC,500,1,4/25/2003 0:00,13210,26.42,47.02,23510,0,7.09,10300,1187.5,,N/A,Fixed Income,Core,,Other,8/30/2024 0:00,13210,0,4,,NO,,234678,,Managed,,,10300
7/30/2024 0:00,9999-01-1/1.2,Adam Test PRI,EL PASO ENERGY CAP TRST 4.75 $2.375 PFD,,283678209,EP/PRC,100,3,11/22/2004 0:00,3660,36.6,47.02,4702,0,1.41,1042,237.5,,N/A,Fixed Income,Core,,Other,8/30/2024 0:00,3660,0,4,,NO,,234678,,Managed,,,1042
