AccountNum,PolicyModelName,PolicyModelClass,PolicyAssetClassifier,PolicyClassType,PolicyClassParent,PolicyMinimumPercent,PolicyMaximumPercent,PolicyPercent,TargetModelName,TargetModelClass,TargetAssetClassifier,TargetClassType,TargetClassParent,TargetMinimumPercent,TargetMaximumPercent,TargetPercent
9999-01-1/1,PW-POL-CP-GRO-TX,Growth Core Plus TX - PW,Absolute Return,AssetSubClass,Alternatives & Other,0,0,0,IPC-PW-CP-GRO-TX,Core Plus - Growth - Taxable,,,,,,
9999-01-1/1,PW-POL-CP-GRO-TX,Growth Core Plus TX - PW,Alternatives & Other,AssetClass,,0,20,5,IPC-PW-CP-GRO-TX,Core Plus - Growth - Taxable,Alternatives & Other,AssetClass,,0,100,5
9999-01-1/1,PW-POL-CP-GRO-TX,Growth Core Plus TX - PW,Cash,AssetClass,,0,20,3,IPC-PW-CP-GRO-TX,Core Plus - Growth - Taxable,Cash,AssetClass,,0,100,3
9999-01-1/1,PW-POL-CP-GRO-TX,Growth Core Plus TX - PW,Cash,AssetSubClass,Cash,0,13,3,IPC-PW-CP-GRO-TX,Core Plus - Growth - Taxable,Cash,AssetSubClass,Cash,0,100,3
9999-01-1/1,PW-POL-CP-GRO-TX,Growth Core Plus TX - PW,Core,AssetSubClass,Fixed Income,0,17,5.6,IPC-PW-CP-GRO-TX,Core Plus - Growth - Taxable,Core,AssetSubClass,Fixed Income,0,100,10
9999-01-1/1,PW-POL-CP-GRO-TX,Growth Core Plus TX - PW,Equity,AssetClass,,70,100,85,IPC-PW-CP-GRO-TX,Core Plus - Growth - Taxable,Equity,AssetClass,,0,100,82
9999-01-1/1,PW-POL-CP-GRO-TX,Growth Core Plus TX - PW,Fixed Income,AssetClass,,0,22,7,IPC-PW-CP-GRO-TX,Core Plus - Growth - Taxable,Fixed Income,AssetClass,,0,100,10
9999-01-1/1,PW-POL-CP-GRO-TX,Growth Core Plus TX - PW,Global,AssetSubClass,Fixed Income,0,3.4,0,IPC-PW-CP-GRO-TX,Core Plus - Growth - Taxable,,,,,,
9999-01-1/1,PW-POL-CP-GRO-TX,Growth Core Plus TX - PW,Global Equity,AssetSubClass,Equity,0,19,0,IPC-PW-CP-GRO-TX,Core Plus - Growth - Taxable,,,,,,
9999-01-1/1,PW-POL-CP-GRO-TX,Growth Core Plus TX - PW,High Yield,AssetSubClass,Fixed Income,0,6.8,1.4,IPC-PW-CP-GRO-TX,Core Plus - Growth - Taxable,,,,,,
9999-01-1/1,PW-POL-CP-GRO-TX,Growth Core Plus TX - PW,International,AssetSubClass,Equity,0,38,17,IPC-PW-CP-GRO-TX,Core Plus - Growth - Taxable,International,AssetSubClass,Equity,0,100,14.35
9999-01-1/1,PW-POL-CP-GRO-TX,Growth Core Plus TX - PW,Other,AssetSubClass,Alternatives & Other,0,10,0,IPC-PW-CP-GRO-TX,Core Plus - Growth - Taxable,,,,,,
9999-01-1/1,PW-POL-CP-GRO-TX,Growth Core Plus TX - PW,Other Equity,AssetSubClass,Equity,0,19,0,IPC-PW-CP-GRO-TX,Core Plus - Growth - Taxable,,,,,,
9999-01-1/1,PW-POL-CP-GRO-TX,Growth Core Plus TX - PW,Private Investments,AssetSubClass,Alternatives & Other,0,0,0,IPC-PW-CP-GRO-TX,Core Plus - Growth - Taxable,,,,,,
9999-01-1/1,PW-POL-CP-GRO-TX,Growth Core Plus TX - PW,Real Assets,AssetSubClass,Alternatives & Other,0,15,5,IPC-PW-CP-GRO-TX,Core Plus - Growth - Taxable,Real Assets,AssetSubClass,Alternatives & Other,0,100,5
9999-01-1/1,PW-POL-CP-GRO-TX,Growth Core Plus TX - PW,TIPS,AssetSubClass,Fixed Income,0,3.4,0,IPC-PW-CP-GRO-TX,Core Plus - Growth - Taxable,,,,,,
9999-01-1/1,PW-POL-CP-GRO-TX,Growth Core Plus TX - PW,U.S. Large Cap,AssetSubClass,Equity,37.5,85.5,59.5,IPC-PW-CP-GRO-TX,Core Plus - Growth - Taxable,U.S. Large Cap,AssetSubClass,Equity,0,100,57.4
9999-01-1/1,PW-POL-CP-GRO-TX,Growth Core Plus TX - PW,U.S. Small Cap,AssetSubClass,Equity,0,28.5,8.5,IPC-PW-CP-GRO-TX,Core Plus - Growth - Taxable,U.S. Small Cap,AssetSubClass,Equity,0,100,10.25
9999-01-1/1,PW-POL-CP-GRO-TX,Growth Core Plus TX - PW,Unconstrained and Other,AssetSubClass,Fixed Income,0,3.4,0,IPC-PW-CP-GRO-TX,Core Plus - Growth - Taxable,,,,,,
9999-02-1/2,PW-POL-CP-GRO-TX,Growth Core Plus TX - PW,Absolute Return,AssetSubClass,Alternatives & Other,0,0,0,IPC-PW-CP-GRO-TX,Core Plus - Growth - Taxable,,,,,,
