fundpreferredid,ccy_cde,FR_market_value,IS_BENCHMARK,SORT_CODE,SORT_CODE_CHAR,FR_CLASS_CODE_DESC,CLASS_LEVEL,ITD,10MTH,10YR,11MTH,15YR,1MTH,30YR,1YR,20YR,25YR,2MTH,2YR,3MTH,3YR,4MTH,4YR,5MTH,5YR,6MTH,6YR,7MTH,7YR,8MTH,8YR,9MTH,9YR,QTD,YTD,FYTD,NODE_INCEPTION_DATE,PERIOD_END_DATE,AS_OF
9999-01-1/1,USD,592792.72,N,1,001.000.000,Total Account Gross,0,5.8492,13.2995,7.1786,11.5572,8.2179,0.9633,,14.1245,6.4199,5.4762,4.4218,13.1091,1.2533,5.1357,3.9852,10.4327,7.1067,8.2332,8.1192,7.841,12.691,7.8001,20.3285,8.3333,17.9655,7.666,1.2533,8.1192,8.1192,1/1/1996 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-01-1/1,USD,592792.72,N,2,002.000.000,Total Account Net,0,5.2381,12.2798,6.2904,10.4516,7.458,0.8712,,12.891,5.7357,4.821,4.2338,11.9217,0.9779,4.0709,3.6088,9.3417,6.6236,7.1898,7.5337,6.8201,11.9802,6.7883,19.4641,7.332,17.0103,6.7339,0.9779,7.5337,7.5337,1/1/1996 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-01-1/1,USD,592792.72,N,3,003.000.000,Total Account with PI,0,5.8492,13.2995,7.1786,11.5572,8.2179,0.9633,,14.1245,6.4199,5.4762,4.4218,13.1091,1.2533,5.1357,3.9852,10.4327,7.1067,8.2332,8.1192,7.841,12.691,7.8001,20.3285,8.3333,17.9655,7.666,1.2533,8.1192,8.1192,1/1/1996 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-01-1/1,USD,592792.72,N,4,004.000.000,Total Account with PI net,0,7.0534,12.2798,,10.4516,,0.8712,,12.891,,,4.2338,11.9217,0.9779,4.0709,3.6088,9.3417,6.6236,7.1898,7.5337,6.8201,11.9802,6.7883,19.4641,,17.0103,,0.9779,7.5337,7.5337,8/1/2016 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-01-1/1,USD,491461.23,N,120,120.000.000,Equity,1,7.7827,14.2113,9.5411,12.1766,11.5913,1.09,,15.1007,9.0411,5.5626,5.0946,15.1616,0.6723,6.8217,3.8101,13.5621,7.5157,10.5995,8.7969,10.059,13.9497,10.0605,23.1057,10.9179,20.058,10.036,0.6723,8.7969,8.7969,1/1/1996 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-01-1/1,USD,352154.85,N,205,120.205.000,U.S. Large Cap,2,7.8099,14.294,11.7099,13.3799,12.5483,1.9476,,15.4985,9.5618,5.9646,5.7715,16.4432,0.954,9.2725,4.0173,14.9418,7.6286,12.4129,9.7976,12.379,13.7867,12.2081,22.9035,12.7611,20.7903,12.3771,0.954,9.7976,9.7976,1/1/1996 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-01-1/1,USD,,Y,205,120.205.000.000,S&P 500,2,9.976645,22.6318,12.8577,20.6792,14.8158,3.5882,,24.556,10.291,7.6703,8.7246,22.0497,4.2838,10.0132,7.6391,17.0119,13.3866,15.0455,15.2919,14.2609,20.5298,14.2771,31.5371,14.7233,28.7713,13.4783,4.2838,15.2919,15.2919,1/1/1996 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-01-1/1,USD,48402.3,N,210,120.210.000,U.S. Small Cap,2,12.1021,7.6537,7.1155,3.2102,11.4722,-2.1447,,8.92,,,2.9658,10.9727,-3.016,2.9448,0.4636,16.278,4.0553,9.9846,0.6068,6.6688,12.0409,7.7737,21.3329,9.6034,14.6096,7.5472,-3.016,0.6068,0.6068,1/1/2007 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-01-1/1,USD,,Y,210,120.210.000.000,Russell 2000,2,7.068626,9.1758,7.0032,3.714,11.2361,-0.925,,10.0565,,,4.0453,11.176,-3.2777,-2.5805,0.1848,10.6319,5.8495,6.9425,1.7326,5.1613,14.1627,6.8499,24.4955,8.9224,16.0051,7.0609,-3.2777,1.7326,1.7326,1/1/2007 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-01-1/1,USD,90904.08,N,215,120.215.000,International,2,,17.6991,3.8282,12.5256,8.9919,-0.3937,,17.0011,,,3.6961,12.8168,1.5656,0.3016,4.7983,7.9338,8.9636,4.5342,9.7063,3.6315,15.5638,3.9417,24.7861,5.5788,20.2357,3.8381,1.5656,9.7063,9.7063,3/1/2005 0:00,6/30/2024 23:59,7/31/2024 0:00
