index,filingid,acquiredfirm,secfilenumber,crdnumber
0,1804843,COWEN INVESTMENT MANAGEMENT LLC,801-70868,151953
1,1793330,"SEGRA CAPITAL MANAGEMENT, LLC",801-126256,167306
2,1804328,"HENDERSHOTT WEALTH MANAGEMENT, LLC",801-120494,170839
3,1806313,TIFIN GIVE,801-121587,313261
4,1806592,"OXFORD FINANCIAL GROUP, LTD",801-20692,105303
5,1791754,SATURN V CAPITAL MANAGEMENT LLC,801-128448,316649
6,1787693,"WINDSOR WEALTH MANAGEMENT, INC.",801-28534,105279
7,1793680,ADDISON CAPITAL,801-68352,144853
8,1805538,VICTOR CAPITAL PARTNERS,801-126275,313929
9,1795181,"WS PORTFOLIO ADVISORY, LLC",801-123424,318889
10,1793429,PONDER INVESTMENT CO,801-30773,110917
11,1796754,WEALTHSPIRE ADVISORS,801-39127,106259
12,1797780,"THE DAVID J. YVARS GROUP, INC.",801-63040,130852
13,1803769,"HENDERSHOTT WEALTH MANAGEMENT, LLC",801-120494,170839
14,1804077,"GM ADVISORY GROUP, INC.",801-69418,147592
15,1794310,EXCELSIOR WEALTH MANAGEMENT LLC,801-128803,326976
16,1805940,LYXOR ASSET MANAGEMENT INC.,801-61375,121552
17,1796829,AQUILINE HOLDINGS LLC,801-71704,154410
18,1782305,"FIRST REPUBLIC INVESTMENT MANAGEMENT, INC.",801-56293,108559
19,1806889,LYXOR ASSET MANAGEMENT INC.,801-61375,121552
20,1794321,"UNIFIMONEY RIA, INC.",801-118883,309001
21,1805457,SANTANDER SECURITIES,801-56796,41791
22,1779016,GLOBALT INVESTMENTS,801-78344,168405
